canton,mes,anio,produccion,area
Turrialba,enero,2005,136.21,5.95
Turrialba,febrero,2005,66.24,2.8
Turrialba,marzo,2005,14.9,0.7
Turrialba,abril,2005,60.03,2.45
Turrialba,mayo,2005,140.76,4.9
Turrialba,junio,2005,240.12,9.8
Turrialba,julio,2005,372.6,12.6
Turrialba,agosto,2005,186.3,7.0
Turrialba,septiembre,2005,178.02,7.35
Turrialba,octubre,2005,,
Turrialba,noviembre,2005,,
Turrialba,diciembre,2005,274.9,9.8
Oreamuno,enero,2005,3000.38,118.4
Oreamuno,febrero,2005,2726.91,115.14
Oreamuno,marzo,2005,3857.77,152.43
Oreamuno,abril,2005,1011.56,41.91
Oreamuno,mayo,2005,1129.42,50.43
Oreamuno,junio,2005,1166.89,52.21
Oreamuno,julio,2005,1238.39,50.93
Oreamuno,agosto,2005,1455.83,60.28
Oreamuno,septiembre,2005,2824.54,114.8
Oreamuno,octubre,2005,1843.6,77.65
Oreamuno,noviembre,2005,1409.67,52.5
Oreamuno,diciembre,2005,934.37,41.11
El Guarco,enero,2005,49.94,3.34
El Guarco,febrero,2005,31.5,2.22
El Guarco,marzo,2005,,
El Guarco,abril,2005,,
El Guarco,mayo,2005,48.72,2.46
El Guarco,junio,2005,36.79,2.83
El Guarco,julio,2005,91.89,5.95
El Guarco,agosto,2005,34.77,2.16
El Guarco,septiembre,2005,68.15,3.87
El Guarco,octubre,2005,42.79,2.11
El Guarco,noviembre,2005,63.15,3.52
El Guarco,diciembre,2005,49.96,2.46
Cartago,enero,2005,1991.51,92.81
Cartago,febrero,2005,2225.56,99.27
Cartago,marzo,2005,1585.93,74.75
Cartago,abril,2005,101.02,4.9
Cartago,mayo,2005,488.93,22.76
Cartago,junio,2005,1753.28,69.31
Cartago,julio,2005,4211.09,160.48
Cartago,agosto,2005,193.22,11.03
Cartago,septiembre,2005,4761.66,226.65
Cartago,octubre,2005,2332.76,107.64
Cartago,noviembre,2005,770.45,30.8
Cartago,diciembre,2005,1027.75,46.91
Alvarado,enero,2005,433.03,18.92
Alvarado,febrero,2005,901.1,38.65
Alvarado,marzo,2005,855.38,39.03
Alvarado,abril,2005,1110.92,48.24
Alvarado,mayo,2005,2787.8,113.28
Alvarado,junio,2005,1841.52,77.37
Alvarado,julio,2005,999.49,39.03
Alvarado,agosto,2005,1336.79,47.95
Alvarado,septiembre,2005,1228.04,45.87
Alvarado,octubre,2005,743.48,26.09
Alvarado,noviembre,2005,256.68,9.1
Alvarado,diciembre,2005,815.38,33.97
Turrialba,enero,2006,68.72,2.45
Turrialba,febrero,2006,62.1,2.1
Turrialba,marzo,2006,,
Turrialba,abril,2006,180.5,6.3
Turrialba,mayo,2006,521.56,17.99
Turrialba,junio,2006,631.76,24.85
Turrialba,julio,2006,761.43,27.16
Turrialba,agosto,2006,209.48,6.3
Turrialba,septiembre,2006,176.36,5.6
Turrialba,octubre,2006,834.21,25.2
Turrialba,noviembre,2006,205.34,7.35
Turrialba,diciembre,2006,410.69,14.0
Oreamuno,enero,2006,1112.65,49.72
Oreamuno,febrero,2006,1976.32,84.66
Oreamuno,marzo,2006,3748.65,162.93
Oreamuno,abril,2006,477.77,22.07
Oreamuno,mayo,2006,1683.02,69.14
Oreamuno,junio,2006,1809.24,68.62
Oreamuno,julio,2006,941.85,35.0
Oreamuno,agosto,2006,942.25,37.48
Oreamuno,septiembre,2006,1073.37,44.44
Oreamuno,octubre,2006,1144.79,48.44
Oreamuno,noviembre,2006,190.56,8.23
Oreamuno,diciembre,2006,1797.51,74.05
El Guarco,enero,2006,2.83,0.18
El Guarco,febrero,2006,81.49,4.84
El Guarco,marzo,2006,55.4,4.49
El Guarco,abril,2006,9.77,0.84
El Guarco,mayo,2006,66.71,3.33
