PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,JAN_PH_SUELO,FEB_PH_SUELO,MAR_PH_SUELO,APR_PH_SUELO,MAY_PH_SUELO,JUN_PH_SUELO,JUL_PH_SUELO,AUG_PH_SUELO,SEP_PH_SUELO,OCT_PH_SUELO,NOV_PH_SUELO,DEC_PH_SUELO
PRECTOTCORR,1981,2.64,3.32,1.72,6.02,6.66,11.86,3.34,9.65,9.03,6.43,9.18,4.26,6.17,5.6,5.71,3.01,3.72,4.84,3.43,4.48,4.75,7.64,3.6,8.33,3.45
PRECTOTCORR,1982,3.3,2.99,1.35,3.71,8.9,2.92,8.43,4.88,5.84,6.6,2.71,3.59,4.62,6.9,3.35,7.94,5.28,7.79,5.88,5.29,5.56,5.4,6.08,5.42,7.82
PRECTOTCORR,1983,1.38,0.09,0.93,3.76,3.01,4.61,5.27,5.66,5.07,7.47,3.01,3.31,3.65,6.21,6.98,3.19,8.19,4.15,6.13,3.83,5.59,4.94,8.83,8.71,5.75
PRECTOTCORR,1984,0.69,1.01,0.6,2.72,4.78,5.78,4.8,6.55,5.83,5.3,2.27,2.01,3.54,7.59,4.73,3.17,3.95,8.17,4.74,4.85,3.46,6.78,7.27,7.05,5.67
PRECTOTCORR,1985,1.94,0.41,0.5,0.84,2.21,8.02,5.41,4.31,4.36,3.62,2.4,2.03,3.02,8.74,7.96,7.38,4.34,5.65,5.19,8.89,5.07,6.21,8.19,6.26,5.13
PRECTOTCORR,1986,2.53,0.39,0.57,0.46,4.46,7.97,4.69,8.08,5.73,8.05,4.5,3.83,4.3,5.55,5.76,7.68,7.49,3.87,7.4,3.82,6.95,8.72,6.53,7.96,6.07
PRECTOTCORR,1987,1.6,1.15,0.68,4.52,4.08,4.69,3.87,4.87,3.26,6.51,2.62,1.59,3.3,3.2,4.79,4.06,3.61,6.04,6.96,3.34,5.39,8.09,3.88,8.26,6.47
PRECTOTCORR,1988,2.52,0.84,0.74,1.74,3.24,2.68,3.06,5.21,6.42,4.97,3.49,1.14,3.01,7.42,3.64,4.06,3.55,7.74,5.76,5.57,7.32,8.3,7.51,5.13,3.87
PRECTOTCORR,1989,0.45,0.61,0.34,0.39,2.04,5.37,3.02,3.94,5.07,4.72,2.43,2.15,2.55,5.65,7.84,3.63,3.6,5.72,4.24,8.83,4.36,4.67,5.57,7.39,8.26
PRECTOTCORR,1990,1.64,0.87,0.85,0.92,3.56,4.52,2.94,5.63,3.53,5.97,3.07,2.25,3.0,7.26,6.6,3.75,5.79,8.61,4.7,5.21,5.45,3.86,6.31,5.63,8.72
PRECTOTCORR,1991,3.09,1.34,0.17,0.82,5.23,4.24,4.14,2.08,3.09,5.77,3.23,1.96,2.94,8.36,3.96,6.51,8.92,3.01,3.62,3.49,7.62,3.53,7.02,7.85,4.36
PRECTOTCORR,1992,0.14,0.99,0.41,0.98,3.35,2.64,5.97,3.73,3.11,3.16,2.72,0.92,2.35,5.52,8.0,3.9,8.97,6.83,4.27,7.12,6.14,8.62,6.94,8.91,7.87
PRECTOTCORR,1993,0.28,0.21,0.76,1.58,7.73,4.33,2.53,3.93,7.12,2.29,1.06,1.28,2.77,3.18,7.84,6.67,4.04,4.59,5.0,5.17,8.58,6.59,8.98,7.56,5.91
PRECTOTCORR,1994,0.02,0.29,0.17,1.09,1.06,2.47,3.58,2.74,2.9,4.1,3.49,1.01,1.92,8.81,8.96,8.25,7.46,8.23,3.87,4.09,7.48,7.05,7.36,5.99,3.08
PRECTOTCORR,1995,0.16,0.4,0.67,2.33,5.41,5.88,3.18,7.18,4.58,4.24,2.42,0.67,3.11,3.75,8.58,7.28,5.06,4.2,4.64,7.29,8.57,3.32,8.33,3.71,6.47
PRECTOTCORR,1996,1.43,1.52,0.19,0.47,4.59,2.63,2.41,2.39,2.65,2.79,3.81,2.33,2.27,4.77,6.6,3.63,5.23,5.62,7.07,8.47,6.73,7.46,3.69,5.99,5.8
PRECTOTCORR,1997,2.01,1.32,0.48,1.93,6.5,7.97,4.26,5.94,7.64,8.79,4.29,2.07,4.45,3.21,5.37,7.15,3.8,8.22,6.79,7.76,6.67,5.92,6.09,8.53,6.4
PRECTOTCORR,1998,0.03,0.31,0.16,0.84,6.4,7.36,10.44,8.91,5.68,11.41,4.9,8.7,5.48,7.3,8.51,3.6,3.63,7.75,4.11,8.05,3.58,3.37,8.2,3.31,6.8
PRECTOTCORR,1999,2.14,4.38,1.37,5.68,7.6,8.87,5.75,10.64,9.09,7.41,4.98,8.6,6.38,3.98,5.95,4.82,6.06,7.41,8.55,7.95,6.09,3.67,3.49,3.87,7.82
PRECTOTCORR,2000,4.24,2.93,0.77,2.86,6.55,8.58,6.59,7.03,6.36,4.61,4.82,2.66,4.83,4.6,5.36,5.9,4.56,4.91,5.91,3.48,5.0,4.65,8.36,7.13,6.59
PRECTOTCORR,2001,2.25,2.15,1.26,2.88,5.01,6.98,4.54,5.29,5.2,7.15,6.51,2.25,4.29,7.51,3.59,5.52,7.97,7.42,6.92,3.08,6.5,5.03,4.95,7.32,4.85
PRECTOTCORR,2002,3.67,1.38,1.77,2.4,10.41,6.79,11.45,9.38,5.69,5.62,9.59,4.18,6.06,4.39,8.65,3.79,8.02,4.94,3.46,5.09,4.58,7.87,6.19,5.81,8.84
PRECTOTCORR,2003,2.36,2.04,1.4,2.91,9.11,4.18,4.6,3.74,2.97,5.98,5.72,5.25,4.21,4.59,4.11,5.08,7.66,8.13,4.41,7.02,4.17,4.77,5.96,3.97,5.08
PRECTOTCORR,2004,1.05,2.23,3.62,1.85,7.3,4.17,4.75,4.38,6.92,4.76,11.51,5.35,4.82,3.54,8.9,4.18,5.75,8.68,7.47,6.03,7.36,7.06,6.1,6.85,6.8
